Specified Values,Specified Attribute Names,productivity_class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"2026.0, 3.0, [-3.09,9.09], 3.0, 1.0, [-3105.74,3965.74], [2007.56,2026.44], [15.264749999999996,64.25525], 2.0, 2.0, 7.0, [0.8812999999999995,38.738699999999994], [-168221.3872,321580.2272], 0.0, [39.72,68.28], [2.7055,4.9945], [9.9525,14.467500000000001], [-187.625,251.625], [-182.745,218.745], [-863.46,917.46], [9.63735,18.02265], [2.8695999999999997,7.2303999999999995], 1.0","survey_year, quarter, country, region, company_size, num_employees, company_founding_year, ai_adoption_rate, ai_adoption_stage, num_ai_tools_used, ai_use_case, ai_training_hours, ai_investment_per_employee, data_privacy_level, ai_risk_management_score, employee_satisfaction_score, time_saved_per_week, jobs_displaced, jobs_created, reskilled_employees, revenue_growth_percent, customer_satisfaction, survey_source",2.0,1.0,1.0,1,1.4,4110,110,0.575,0.000679934239454195,5,5
"0.0, [11.995,32.005], 0.0, 7.0, 2.0, [-6494.405000000001,6666.405000000001], [26.774350000000002,63.705650000000006], [-0.7000000000000002,6.7], 2.0, 1.0, [4.59,10.07], [20.38665,30.97335], [-66373.76320000002,151315.8432], [51.019999999999996,86.98], 2.0, [52.78,75.22], [31.578999999999997,76.521], [2.3339999999999996,5.386], [11.073000000000002,40.947], [3.1607499999999993,11.739250000000002], [-270.09499999999997,280.09499999999997], [-715.225,725.225], [-1.5754499999999991,10.87545], [47.7,76.3], 2.0","quarter, country, region, industry, company_size, num_employees, ai_adoption_rate, years_using_ai, num_ai_tools_used, ai_use_case, ai_budget_percentage, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, remote_work_percentage, employee_satisfaction_score, task_automation_rate, time_saved_per_week, jobs_created, reskilled_employees, revenue_growth_percent, innovation_score, survey_source",2.0,1.0,1.0,1,1.4,4126,126,0.625,0.000679934239454195,5,5
"2024.0, [-7.4399999999999995,13.44], [-2444.5250000000005,4430.525000000001], [1996.0,2020.0], 2.0, 3.0, 2.0, [0.050000000000000044,0.512], [28.7206,39.699400000000004], [-191033.49200000003,236571.092], [50.3,67.7], 0.0, [49.135999999999996,92.124], [-12.87125,24.47125], [-1.4460000000000006,8.186], [-456.14500000000004,540.145], [-8.226600000000001,4.9866], [-4.69315,4.69315], [40.24,65.76], [3.5171999999999994,5.6028], 1.0, 3.0","survey_year, country, num_employees, company_founding_year, ai_adoption_stage, num_ai_tools_used, ai_use_case, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, remote_work_percentage, task_automation_rate, time_saved_per_week, jobs_created, revenue_growth_percent, cost_reduction_percent, innovation_score, customer_satisfaction, survey_source, data_collection_method",1.0,1.0,1.0,2,1.6,4169,169,0.55,0.0015541354044667315,5,5
"2023.0, [9.155,26.845], 6.0, 1.0, [20.225,45.775], [12.801350000000001,34.65865], 3.0, 3.0, 1.0, 7.0, [9.3891,42.6109], [-3.0588000000000006,8.558800000000002], [-0.04150000000000001,0.49750000000000005], [11.08095,34.99905], [-192634.4044,203871.6644], [43.34,74.66], 2.0, 0.0, [4.77825,7.1217500000000005], [-0.34499999999999975,8.684999999999999], [-318.83,348.83], [-250.09499999999997,300.09499999999997]","survey_year, country, industry, company_size, company_age, ai_adoption_rate, ai_adoption_stage, ai_primary_tool, num_ai_tools_used, ai_use_case, ai_training_hours, ai_budget_percentage, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_ethics_committee, employee_satisfaction_score, time_saved_per_week, jobs_displaced, jobs_created",0.0,1.0,1.0,1,1.6,4208,208,0.55,0.0007770677022333657,5,5
"0.0, 6.0, [-6042.33,6136.33], [-3155.8708,3236.8908000000006], [1990.36,2007.64], 1.0, 1.0, 7.0, [7.104699999999998,31.0553], [0.03859999999999997,0.5314], [-125250.09680000003,240157.4568], [56.82,81.18], 2.0, 1.0, [2.956249999999999,14.24375], [-401.945,409.945], [-0.5914999999999995,7.031499999999999], [1.4311999999999987,11.3488], [4.1716,7.2684]","region, industry, num_employees, annual_revenue_usd_millions, company_founding_year, company_age_group, ai_primary_tool, ai_use_case, ai_training_hours, ai_maturity_score, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_ethics_committee, time_saved_per_week, reskilled_employees, revenue_growth_percent, cost_reduction_percent, customer_satisfaction",0.0,1.0,1.0,1,1.8,4269,269,0.475,0.0008742011650125364,5,5
"2025.0, 0.0, 8.0, [-3890.245,4556.245], [-2208.3459500000004,2885.8859500000003], [2008.0,2016.0], 3.0, 2.0, 3.0, 0.0, [76.01,93.99], 0.0, 1.0, [39.15,74.85], [43.290499999999994,69.6695], [-282.83500000000004,326.83500000000004], [5.7736,9.1864], 3.0","survey_year, quarter, industry, num_employees, annual_revenue_usd_millions, company_founding_year, company_age_group, ai_adoption_stage, num_ai_tools_used, ai_use_case, regulatory_compliance_score, data_privacy_level, ai_ethics_committee, ai_risk_management_score, remote_work_percentage, jobs_created, customer_satisfaction, data_collection_method",2.0,1.0,1.0,1,1.4,4304,304,0.45,0.000679934239454195,5,5
"2024.0, 0.0, 2.0, [-5145.395,5265.395], [-1764.6042000000002,1831.3242], [18.3,33.7], 1.0, [20.9008,45.0192], 3.0, [1.35,8.65], 4.0, 2.0, 0.0, [6.7158,32.9842], [0.7195999999999998,16.9404], [15.123050000000001,38.25695], [-176354.0852,274574.3852], [47.43,66.57], [28.72,57.28], [32.098,63.361999999999995], [5.819000000000001,12.441], [-525.885,529.885], [-4.5317,14.2717], [0.21769999999999978,4.8223], [42.879999999999995,63.120000000000005], [5.2336,7.066400000000001], 0.0, 2.0","survey_year, region, company_size, num_employees, annual_revenue_usd_millions, company_age, company_age_group, ai_adoption_rate, ai_adoption_stage, years_using_ai, ai_primary_tool, num_ai_tools_used, ai_use_case, ai_training_hours, ai_budget_percentage, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, ai_risk_management_score, remote_work_percentage, time_saved_per_week, jobs_created, revenue_growth_percent, cost_reduction_percent, innovation_score, customer_satisfaction, survey_source, data_collection_method",1.0,1.0,1.0,1,1.4,4320,320,0.7,0.000679934239454195,5,5
"2025.0, [-2.915,4.915], 4.0, 0.0, [1.2749999999999995,10.725000000000001], 3.0, [3.6999999999999997,8.3], 2.0, 7.0, [0.4453,0.7686999999999999], [2.1644000000000005,30.3956], [-83.19520000001648,256479.5552], [62.05,93.95], 1.0, [3.878,74.222], [5.000500000000001,8.3795], [2.990000000000009,687.01], [3.9388000000000005,20.2012], 0.0, 0.0","survey_year, country, region, company_size, company_age, company_age_group, years_using_ai, num_ai_tools_used, ai_use_case, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, ai_ethics_committee, remote_work_percentage, employee_satisfaction_score, jobs_created, revenue_growth_percent, survey_source, data_collection_method",2.0,1.0,1.0,2,1.2,4339,339,0.5,0.0011656015533500486,5,5
"2024.0, [12.01,29.990000000000002], 7.0, [10853.465,20478.535], [4885.8344,9680.4056], [1984.8,1999.2], 2.0, [25.296399999999995,67.5036], 2.0, 0.0, [12.158300000000004,57.7417], [-66836.94200000001,166401.922], [37.79,66.21], 0.0, [55.935,88.065], [14.26465,30.69535], [365.9,1420.1], [426.97,2365.0299999999997], [-8.162350000000002,8.862350000000001], [-0.6678000000000002,5.707800000000001], [50.54,69.46], 0.0","survey_year, country, industry, num_employees, annual_revenue_usd_millions, company_founding_year, company_age_group, ai_adoption_rate, ai_adoption_stage, ai_use_case, ai_training_hours, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, task_automation_rate, jobs_displaced, reskilled_employees, revenue_growth_percent, cost_reduction_percent, innovation_score, survey_source",1.0,1.0,1.0,1,1.4,4359,359,0.55,0.000679934239454195,5,5
"2024.0, 2.0, [22.33,35.67], 8.0, 1.0, [-1620.5900000000001,3486.59], [-0.9000000000000004,8.9], [26.5916,74.8284], 2.0, [-0.10000000000000009,4.1], 0.0, 0.0, [7.3351999999999995,15.6648], [-77485.47520000002,179077.2752], [44.15,81.85], 0.0, [39.485,66.515], [36.8035,104.21650000000001], [7.154649999999998,23.58535], [2.8202999999999996,11.4597], [-2.16605,6.8660499999999995], [40.74,55.26], 1.0","survey_year, quarter, country, industry, company_size, num_employees, company_age, ai_adoption_rate, ai_adoption_stage, years_using_ai, ai_primary_tool, ai_use_case, ai_budget_percentage, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, remote_work_percentage, task_automation_rate, revenue_growth_percent, cost_reduction_percent, innovation_score, data_collection_method",1.0,1.0,1.0,1,1.2,4366,366,0.575,0.0005828007766750243,5,5
"2025.0, 0.0, 2.0, 7.0, 2.0, [1.9499999999999993,18.05], 3.0, 7.0, [2.6000000000000005,13.399999999999999], [28.641,51.818999999999996], [12.712800000000001,37.8072], [68.17,83.83], 1.0, [40.595,69.905], [4.7395,7.900500000000001], [16.4672,48.3328], [9.553749999999999,16.32625], [5.0038,12.7962], 3.0, 3.0","survey_year, quarter, region, industry, company_size, company_age, company_age_group, ai_use_case, ai_projects_active, ai_training_hours, ai_failure_rate, regulatory_compliance_score, data_privacy_level, remote_work_percentage, employee_satisfaction_score, task_automation_rate, time_saved_per_week, cost_reduction_percent, survey_source, data_collection_method",2.0,1.0,1.0,1,1.8,4425,425,0.5,0.0008742011650125364,5,5
"2025.0, 2.0, 0.0, 3.0, [2.25,5.75], 3.0, 0.0, 2.0, [12.643,73.217], [-2.4080000000000004,2.4080000000000004], [-235.19500000000002,239.19500000000002], [-245.09499999999997,305.09499999999997], [-300.47,380.47], [34.44,55.56], [2.0256,5.7544], 1.0","survey_year, quarter, company_age_group, ai_adoption_stage, years_using_ai, num_ai_tools_used, ai_use_case, data_privacy_level, remote_work_percentage, time_saved_per_week, jobs_displaced, jobs_created, reskilled_employees, innovation_score, customer_satisfaction, data_collection_method",0.0,1.0,1.0,1,1.4,4445,445,0.4,0.000679934239454195,5,5
